76, 122188.86
113, 674588.15
150, 649625.8
187, 821840.17
224, 121570.55
261, 998622.09
298, 529559.15
335, 741275.54
372, 333750.42
409, 807317.34
446, 359111.7
483, 368507.46
520, 354581.7
557, 285250.9
594, 514790.81
631, 679698.25
668, 202268.48
705, 855482.66
742, 499404.38
779, 458686.06
816, 579530.06
853, 739991.31
890, 387628.11
927, 621738.61
964, 251106.38
1001, 662663.19
1038, 374685.4
1075, 636092.02
1112, 101047.83
1149, 394133.58
1186, 179706.14
1223, 110553.67
1260, 150347.85
1297, 932273.92
1334, 841579.31
1371, 552655.95
1408, 235089.94
1445, 760858.91
1482, 294421.1
1519, 771902.46
1556, 648266.62
1593, 784242.36
1630, 517952.84
1667, 692176.52
1704, 777717.52
1741, 522337.95
1778, 181055.46
1815, 202680.67
1852, 438403.48
1889, 102444.95
1926, 345823.73
1963, 333729.1
2000, 270647.72
2037, 878967.69
2074, 472239.73
2111, 952348.66
2148, 687478.45
2185, 761206.09
2222, 612943.36
2259, 880813.11
2296, 335087.27
2333, 250766.08
2370, 475064.68
2407, 967254.09
2444, 257304.77
2481, 130929.56
2518, 910145.17
2555, 190193.7
2592, 677992.36
2629, 744228.55
2666, 521365.95
2703, 327295.34
2740, 905811.83
2777, 676200.86
2814, 293067.63
2851, 792017.46
2888, 961696.09
2925, 884512.22
2962, 934077.21
2999, 302483.49
3036, 481241.86
3073, 834968.8
3110, 616171.81
3147, 723653.1
3184, 722556.02
3221, 600038.56
3258, 341352.9
3295, 718135.44
3332, 839055.71
3369, 742389.86
3406, 842301.98
3443, 232146.31
3480, 196800.84
3517, 305433.3
3554, 141815.98
3591, 415190.01
3628, 445419.74
3665, 934966.79
3702, 821621.33
3739, 615680.65
3776, 309614.4
3813, 877857.96
3850, 677266.71
3887, 612388.3
3924, 314388.56
3961, 371948.4
3998, 502082.24
4035, 850751.82
4072, 470465.55
4109, 867904.56
4146, 563443.06
4183, 206060.61
4220, 922762.99
4257, 439082.06
4294, 181669.05
4331, 891310.47
4368, 697810.42
4405, 702782.04
4442, 756720.62
4479, 407446.53
4516, 421852.54
4553, 358522.04
4590, 400028.91
4627, 541963.12
4664, 554568.76
4701, 309621.98
4738, 272955.29
4775, 220958.19
4812, 940121.07
4849, 362327.95
4886, 303178.24
4923, 281893.77
4960, 991914.12
4997, 375371.87
5034, 820261.31
5071, 968483.43
5108, 753605.72
5145, 989014.7
5182, 954776.91
5219, 709618.73
5256, 812265.2
5293, 555768.44
5330, 899990.42
5367, 806046.81
5404, 920330.75
5441, 402270.31
5478, 893508.9
5515, 932389.18
